"","id","nature.of.business","business.cycle","business.type","classification","responsibility.1","responsibility.2","responsibility.3","responsibility.4","knowledge.of.org","products.services","business.orientation","org.governance","business.process.design","risk.mgmt","budgeting","quality.mgmt","process.mgmt","value.realisation","mgmt.multiple.priority","relationship.mgmt","emotional.intelligence","partnering.for.client.success","goal.setting","organisation.structuring","planning.organising","resource.mgmt","strategic.thinking","system.thinking","talent.mgmt","visioning","managing.change","judgement.decision.making","customer.market.focus","performance.planning","programme.mgmt","embracing.challenge","enterprise.analysis","auditing","organisation.comm","public.relations","shareholder.relation","crm","cost.benefit.analysis","fin.risk.mgmt","legal.function","marketing.function","procurement.function","sales.function"
"11",11,"services","decline","private","belowaverage","3","3","3","3","4","3","3","4","4","2","2","3","4","3","3","2","3","2","2","2","3","3","4","3","3","3","3","3","4","3","4","3","4","3","3","3","3","3","4","3","3","3","3","3"
"12",12,"others","decline","others","average","2","3","2","3","4","3","4","3","3","3","2","3","2","4","3","3","2","3","3","3","3","4","3","3","3","4","2","4","4","3","2","2","3","4","4","4","3","2","4","3","3","2","2","2"
"13",13,"fmcg","decline","government","aboveaverage","4","4","4","5","4","5","4","4","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","4","5","4","4","4","5","5","5","5","4","4","5","4","4","5","5","5","4","4","5"
"14",14,"technology","startup","public","average","4","2","3","2","4","3","2","3","4","4","4","3","4","3","2","2","3","3","2","2","2","4","4","4","3","2","4","3","3","2","2","4","3","3","2","2","3","2","3","2","4","3","3","2"
"15",15,"technology","stable","private","average","4","3","3","4","2","3","2","4","4","4","4","3","3","3","3","4","3","3","3","2","3","4","4","4","4","2","4","4","3","2","3","4","4","3","4","2","3","4","4","4","2","4","3","2"
"16",16,"fmcg","stable","private","average","3","2","4","3","2","2","3","3","2","3","4","2","3","4","3","4","2","3","3","3","3","4","4","4","4","3","4","4","3","4","3","4","4","3","3","2","3","3","4","4","2","2","3","4"
"17",17,"financial","startup","others","average","3","4","2","3","4","2","3","4","4","4","4","3","4","4","4","3","2","4","4","3","3","3","4","4","3","3","4","3","4","3","2","3","3","2","4","2","2","4","4","4","3","3","2","2"
"18",18,"others","decline","private","average","2","3","4","3","4","2","3","3","3","3","3","3","4","4","3","4","3","4","4","2","4","2","4","3","2","2","3","4","4","3","2","4","2","2","2","3","3","4","3","2","4","3","3","3"
"19",19,"others","growth","others","average","2","4","3","4","4","3","3","3","3","4","2","4","2","4","3","3","4","3","3","3","3","3","4","3","3","4","3","3","4","3","3","3","3","3","4","4","3","4","4","3","4","4","4","3"
"20",20,"utilities","startup","others","average","2","2","3","2","4","2","3","4","3","2","3","4","3","2","2","3","2","3","3","2","4","3","4","4","3","4","4","4","2","4","4","3","3","2","3","3","3","4","3","4","3","3","3","4"
"21",21,"technology","stable","government","average","3","2","2","4","4","3","4","4","3","4","3","4","4","4","3","4","4","3","4","4","4","3","2","2","4","3","4","2","4","4","3","3","3","3","2","4","2","4","3","2","3","3","3","3"
"22",22,"others","growth","private","belowaverage","3","3","2","3","3","3","4","4","2","3","4","4","3","3","4","4","3","2","4","4","3","4","3","3","3","3","3","2","3","3","3","4","3","2","4","3","2","2","3","2","3","4","3","4"
"23",23,"fmcg","growth","public","average","2","3","4","3","4","2","2","2","3","2","3","3","4","4","2","3","3","2","4","3","3","3","3","3","4","4","2","3","4","2","4","4","3","3","2","4","2","2","4","3","3","2","3","2"
"24",24,"government","stable","government","aboveaverage","3","4","4","3","5","5","4","5","4","4","5","4","4","4","5","4","5","5","4","4","4","4","4","5","5","4","5","5","5","5","5","5","4","4","4","5","4","4","5","4","4","5","4","4"
"25",25,"government","stable","government","average","2","4","2","3","3","3","3","4","3","3","4","2","3","2","3","3","3","2","2","2","4","4","2","3","3","3","4","2","3","3","2","4","3","3","4","3","3","2","3","3","2","3","4","4"
"26",26,"utilities","startup","others","average","3","2","3","4","4","3","3","4","2","4","3","3","3","3","3","3","3","4","3","2","2","2","4","4","4","3","4","2","2","2","2","3","4","3","4","2","3","4","3","4","3","3","3","2"
"27",27,"others","growth","public","average","3","2","3","4","2","2","2","2","4","3","3","3","4","4","3","2","4","2","3","3","2","4","3","2","3","4","2","3","3","3","4","4","3","4","3","4","3","3","3","4","4","2","3","4"
"28",28,"utilities","growth","public","average","3","3","3","3","2","3","3","3","3","4","3","4","2","4","3","4","2","4","3","3","4","3","3","4","3","2","4","2","3","4","4","3","3","4","3","3","2","4","4","4","3","4","3","2"
"29",29,"others","trough","private","average","3","2","3","3","2","4","4","3","4","3","4","4","3","3","3","2","3","2","3","3","2","3","2","3","4","3","4","2","3","4","3","4","4","3","3","3","3","3","3","4","3","3","3","3"
"30",30,"financial","startup","gov-linked","average","3","3","3","2","4","3","4","2","4","4","3","3","2","3","4","4","3","4","2","4","3","3","3","4","4","3","4","4","2","3","3","2","4","3","3","3","4","4","2","4","2","4","4","3"
"31",31,"utilities","growth","private","aboveaverage","3","5","4","4","4","5","4","4","4","4","4","4","5","4","4","4","4","5","4","5","4","5","4","5","4","4","4","4","4","5","4","4","4","4","4","4","4","4","5","4","4","4","4","4"
"32",32,"services","stable","public","average","4","3","3","3","2","2","3","3","4","4","4","4","2","3","3","3","3","3","3","4","3","3","3","2","4","3","4","4","3","2","3","4","3","2","4","2","3","3","3","2","3","4","4","3"
"33",33,"others","stable","government","average","3","3","3","2","3","3","3","4","3","4","3","4","3","2","3","3","3","2","4","3","3","4","3","4","3","3","2","3","3","4","3","2","2","2","4","3","4","3","4","4","3","3","2","3"
"34",34,"others","stable","others","average","2","4","3","3","4","2","4","3","2","3","4","4","3","2","2","2","3","3","3","3","3","4","3","3","3","2","2","3","4","4","4","4","4","3","3","3","3","2","2","3","2","3","4","3"
"35",35,"fmcg","stable","private","average","2","3","2","3","2","3","4","4","2","3","3","4","3","3","4","3","4","3","4","4","3","3","2","3","2","4","2","4","4","3","4","3","4","3","4","3","3","3","4","3","4","3","2","2"
"36",36,"services","growth","others","average","2","3","2","3","2","3","3","2","4","3","3","2","4","4","3","3","4","3","4","3","3","3","3","3","3","3","4","2","2","3","3","2","4","3","3","3","2","3","3","4","3","4","3","3"
"37",37,"government","stable","government","average","4","3","3","2","2","4","3","3","3","3","3","4","3","4","2","3","4","3","3","4","3","3","3","2","3","3","4","4","3","3","3","3","2","3","3","3","4","4","2","3","3","3","3","2"
"38",38,"technology","trough","public","aboveaverage","4","4","4","4","4","5","5","5","4","5","4","4","4","5","4","5","4","4","4","4","4","4","4","5","4","5","4","5","5","5","5","5","5","5","5","4","4","4","5","5","5","5","5","5"
"39",39,"services","trough","others","average","3","2","4","3","2","4","4","4","4","4","2","3","3","3","4","3","3","4","3","3","2","3","3","4","2","2","3","4","4","2","4","3","2","3","3","3","3","4","3","3","3","2","4","4"
"40",40,"financial","startup","private","average","2","3","4","4","4","3","3","4","3","3","4","3","3","3","3","3","2","4","2","4","3","4","2","4","3","2","3","3","3","4","4","4","3","4","3","4","4","3","3","4","3","3","4","4"
"41",41,"others","stable","government","average","2","4","2","2","2","2","3","3","2","4","3","4","3","4","3","3","2","2","2","3","4","4","3","4","3","3","4","4","4","2","3","4","4","3","2","4","4","4","4","2","3","4","4","4"
"42",42,"others","trough","public","average","3","3","4","3","3","4","4","3","2","3","3","2","3","2","2","3","3","3","4","4","4","2","4","4","4","2","4","3","4","4","4","2","2","4","3","3","2","3","3","4","3","3","4","4"
"43",43,"technology","decline","public","average","3","4","4","3","3","2","4","3","2","2","3","4","2","3","2","3","4","4","2","3","4","4","2","4","4","4","4","3","3","4","2","3","4","3","3","4","4","3","4","3","3","4","3","2"
"44",44,"government","startup","government","average","3","4","3","4","4","3","4","3","2","3","2","4","3","4","2","3","3","2","3","3","3","4","3","4","3","3","2","2","2","4","3","2","4","2","4","3","3","3","2","3","4","2","3","3"
"45",45,"government","growth","government","aboveaverage","3","4","2","3","4","4","5","4","4","4","4","4","5","5","4","5","5","5","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","5","4"
"46",46,"others","growth","private","average","2","4","2","4","2","3","4","2","2","3","2","2","4","4","4","3","4","2","4","3","2","4","3","2","2","3","3","3","3","3","3","3","4","2","4","3","2","2","4","4","3","3","4","2"
"47",47,"others","stable","private","aboveaverage","3","4","4","3","4","5","4","4","5","5","4","4","5","4","4","4","4","4","4","5","4","4","4","4","4","5","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","5","5","4"
"48",48,"utilities","growth","private","aboveaverage","5","4","2","2","5","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","5","4","5","4","4","4","4","4","5","4","4","4","4","4","4","4","5"
"49",49,"services","startup","private","average","2","3","3","4","4","4","3","3","2","2","4","3","4","3","3","3","3","4","4","3","3","4","2","3","3","4","4","4","2","3","2","2","3","4","3","3","4","4","4","3","2","2","3","4"
"50",50,"services","stable","public","average","3","2","4","2","3","3","2","3","3","3","3","3","4","4","3","4","4","3","2","3","2","2","3","4","3","4","4","3","3","2","4","3","4","3","3","3","3","3","4","3","4","4","3","4"
"51",51,"financial","stable","private","average","2","3","3","2","2","3","3","3","4","3","2","3","2","3","2","4","3","4","4","2","4","3","3","2","3","4","3","3","3","4","4","3","3","3","3","3","4","3","3","2","4","2","3","3"
"52",52,"others","growth","gov-linked","average","2","2","2","4","2","3","3","4","4","2","4","3","2","4","4","3","3","3","2","3","3","3","2","2","3","3","4","2","2","4","3","2","3","4","3","3","4","4","4","4","4","3","3","3"
"53",53,"fmcg","startup","public","exceptional","3","5","3","3","5","4","5","4","5","4","5","4","5","4","4","5","4","4","5","5","4","4","4","5","5","4","4","5","4","4","5","4","4","4","4","4","5","5","4","4","4","4","5","4"
"54",54,"others","growth","public","average","2","4","3","4","2","2","3","4","4","3","3","4","4","2","2","4","3","3","4","3","4","3","3","4","3","3","2","4","3","4","4","3","3","3","2","3","4","2","3","2","4","3","2","3"
"55",55,"fmcg","growth","gov-linked","average","3","4","3","2","4","4","3","4","3","2","3","3","4","2","3","4","3","4","3","2","3","4","3","4","3","4","3","4","2","3","4","4","4","3","3","3","4","3","4","3","4","4","3","3"
"56",56,"utilities","decline","private","average","2","4","3","4","3","3","3","3","3","2","3","2","4","2","4","3","3","4","4","2","3","4","4","3","3","3","3","3","4","3","4","4","3","2","3","4","3","4","4","4","4","3","4","4"
"57",57,"utilities","growth","others","average","2","4","4","3","4","3","4","4","3","2","3","4","2","3","4","4","3","4","4","3","3","2","3","3","3","4","4","4","4","3","2","4","3","4","3","3","3","2","4","3","3","2","3","3"
"58",58,"services","trough","others","average","4","2","3","3","3","3","4","3","3","2","3","3","4","2","2","3","4","4","3","2","3","3","4","4","2","3","4","3","3","4","3","3","2","2","3","4","2","3","2","4","3","4","4","2"
"59",59,"fmcg","startup","public","average","3","2","4","3","4","3","3","4","4","3","4","2","3","3","4","4","4","4","3","2","4","3","3","4","2","3","3","2","2","3","2","2","3","4","2","3","4","3","3","2","3","3","4","3"
"60",60,"technology","stable","public","average","3","2","3","3","2","3","2","3","4","4","4","2","2","4","3","2","2","3","3","3","3","3","3","4","2","2","4","4","3","4","3","3","4","3","3","4","4","4","3","3","3","4","2","3"
"61",61,"fmcg","growth","government","exceptional","4","3","4","3","5","4","4","4","4","4","5","4","4","4","4","4","4","4","5","4","4","4","4","4","4","5","4","5","4","4","5","4","5","4","4","4","5","5","4","4","4","4","5","4"
"62",62,"others","stable","private","average","3","4","2","4","4","4","4","3","3","4","2","2","4","3","3","3","4","4","2","4","4","3","3","3","4","3","3","4","2","3","3","3","3","3","3","4","4","4","2","4","4","4","4","2"
"63",63,"financial","decline","others","average","4","3","4","4","3","3","4","4","3","3","4","4","4","4","3","3","3","4","2","3","3","3","3","3","3","2","3","3","3","2","4","3","4","3","3","2","2","4","4","2","4","4","3","3"
"64",64,"fmcg","startup","others","exceptional","4","3","4","3","3","5","4","5","5","5","5","4","4","4","4","4","4","4","5","4","4","4","4","5","5","4","5","5","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4"
"65",65,"others","stable","government","average","3","4","4","3","2","3","4","4","3","3","3","4","3","3","2","2","3","3","4","3","3","3","2","3","3","2","2","4","4","2","3","3","2","2","3","2","4","4","3","4","4","4","2","2"
"66",66,"others","stable","others","aboveaverage","3","3","3","4","5","4","4","4","4","4","4","4","5","5","4","5","4","5","4","5","4","5","4","4","4","4","5","4","4","4","4","4","4","4","4","5","4","4","4","4","5","4","5","5"
"67",67,"fmcg","trough","private","average","4","4","4","2","4","3","3","4","3","4","3","3","3","4","2","3","3","4","3","2","4","3","4","4","4","2","2","4","3","3","2","4","3","3","3","3","4","3","2","3","3","3","4","2"
"68",68,"fmcg","stable","others","average","2","4","4","3","3","4","4","3","2","2","4","4","4","2","4","4","4","4","4","4","4","3","2","3","2","2","3","3","3","4","4","3","3","2","4","2","3","3","2","3","2","3","4","3"
"69",69,"fmcg","startup","private","aboveaverage","5","4","4","4","3","5","4","5","5","4","4","5","4","4","4","4","5","4","4","4","5","5","4","4","4","4","4","4","4","5","4","5","5","4","4","5","5","5","4","4","4","4","4","5"
"70",70,"financial","growth","public","aboveaverage","5","3","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","5","4","4","4","4","5","4","5","4","5","4","5","4","4","4","5","4","4","4","5","5","5","4","4","4","5","4"
"71",71,"others","stable","gov-linked","belowaverage","4","3","3","3","2","3","3","4","3","4","3","3","3","4","4","2","3","3","4","4","3","3","3","4","3","2","4","2","3","4","4","4","4","4","3","4","3","2","4","4","4","2","4","2"
"72",72,"utilities","startup","private","average","3","3","4","3","4","2","3","3","2","2","4","2","3","2","3","3","3","2","4","2","4","4","3","2","3","3","4","3","4","3","3","4","3","4","4","3","4","2","3","3","2","2","3","2"
"73",73,"technology","growth","private","average","4","3","3","2","2","4","3","4","4","4","4","3","2","4","4","3","3","3","3","3","3","2","3","3","3","3","3","4","4","4","3","3","3","4","3","3","3","3","2","3","2","4","4","2"
"74",74,"fmcg","growth","others","aboveaverage","5","5","4","4","4","4","4","4","4","5","4","5","5","5","5","4","4","4","5","5","5","5","4","4","4","4","5","4","4","5","4","5","4","4","4","4","4","4","4","4","4","4","5","4"
"75",75,"others","growth","public","average","2","3","3","2","2","3","2","3","3","3","4","2","3","4","3","2","2","4","4","4","2","3","4","4","3","3","4","3","4","3","3","4","3","3","4","4","3","3","4","3","4","2","4","3"
"76",76,"services","growth","public","average","4","3","3","3","2","3","2","4","3","4","2","4","4","3","2","4","3","3","3","4","3","4","4","3","4","2","3","4","2","2","3","2","2","2","2","4","2","3","3","3","3","2","4","4"
"77",77,"utilities","growth","public","belowaverage","2","2","4","3","3","4","3","4","3","2","2","4","4","4","4","4","3","3","3","3","4","2","3","2","3","4","4","4","3","2","3","3","4","3","4","3","4","4","3","2","4","4","4","3"
"78",78,"fmcg","stable","public","aboveaverage","3","4","4","2","4","4","5","4","5","4","5","4","5","4","4","5","4","4","4","4","5","4","4","4","5","4","4","4","4","4","4","4","4","5","4","5","4","4","4","4","4","5","4","5"
"79",79,"others","stable","others","average","2","4","3","3","4","4","2","3","3","3","3","3","3","3","3","2","2","4","4","3","3","2","2","2","4","4","3","3","2","4","3","3","2","3","4","3","4","4","3","4","3","4","4","4"
"80",80,"technology","stable","others","average","4","2","4","4","2","2","3","4","4","4","4","3","4","3","3","4","2","4","4","3","3","3","4","3","3","3","3","3","4","4","2","3","4","4","3","3","4","4","3","3","4","4","4","3"
"81",81,"technology","startup","public","average","2","3","4","4","3","4","4","2","3","3","2","3","3","3","4","4","4","4","2","4","4","4","3","3","3","4","3","3","2","3","4","2","3","3","4","2","3","4","4","3","3","3","3","4"
"82",82,"government","startup","government","average","2","3","3","2","4","4","3","3","3","2","2","3","4","4","3","3","3","3","4","3","3","4","3","2","3","3","4","3","2","2","3","3","3","4","4","3","4","4","2","3","4","3","4","4"
"83",83,"utilities","stable","government","average","3","3","2","3","4","4","4","4","4","3","2","2","4","2","3","2","4","3","2","4","4","3","3","4","4","2","4","4","4","4","2","3","4","2","3","3","3","3","3","3","3","4","3","3"
"84",84,"fmcg","stable","government","average","2","3","4","4","2","3","4","3","4","4","2","3","3","4","2","2","4","3","3","3","2","4","3","3","4","2","2","2","2","4","2","3","4","2","3","4","3","4","2","3","3","3","2","2"
"85",85,"technology","stable","others","aboveaverage","4","4","3","3","4","4","4","4","4","5","4","4","5","4","4","4","4","4","5","4","5","4","4","4","4","4","4","4","4","4","4","5","4","4","5","5","5","4","4","4","4","4","5","5"
"86",86,"utilities","growth","public","average","2","2","4","4","3","4","4","2","4","3","3","4","2","3","3","4","3","2","4","2","3","3","4","4","3","4","3","3","4","4","4","2","2","3","3","4","4","3","2","4","4","4","2","3"
"87",87,"technology","growth","government","aboveaverage","3","3","4","3","5","4","5","4","4","4","5","4","4","5","4","4","5","4","4","4","4","5","4","4","4","5","5","4","4","5","5","4","4","4","5","4","4","4","4","5","4","5","4","4"
"88",88,"others","stable","others","average","3","2","2","3","4","3","3","4","2","4","4","4","4","4","4","2","3","4","3","2","4","4","3","4","3","4","3","2","3","3","2","2","3","4","4","3","3","3","4","2","3","2","4","4"
"89",89,"fmcg","stable","gov-linked","aboveaverage","3","5","2","2","4","4","4","5","5","5","4","5","5","4","4","4","5","4","5","5","4","4","4","4","5","4","5","4","5","5","4","4","4","4","5","5","4","5","5","5","4","5","5","4"
"90",90,"government","growth","government","average","2","3","2","2","2","2","3","3","4","3","3","2","4","2","3","2","3","2","3","2","4","4","2","2","4","3","4","3","4","4","4","2","4","4","2","3","3","3","4","3","4","4","3","3"
"91",91,"utilities","stable","others","average","3","3","2","3","3","3","3","3","4","4","3","4","3","4","4","2","3","3","2","2","3","3","2","2","2","4","4","3","4","3","3","3","3","4","3","3","3","3","2","2","4","3","4","3"
"92",92,"services","stable","government","average","4","3","4","2","3","3","4","3","3","4","2","2","4","4","2","2","3","3","2","3","3","3","4","3","3","4","4","4","4","4","4","4","3","3","2","3","3","3","2","3","3","3","3","3"
"93",93,"utilities","stable","public","average","3","4","4","4","2","4","2","3","4","2","3","2","3","2","3","2","3","4","2","4","3","2","4","3","3","4","3","2","3","4","3","4","4","4","3","3","2","3","4","2","2","4","4","3"
"94",94,"technology","stable","private","aboveaverage","5","3","2","2","4","4","4","5","4","4","5","4","4","5","4","4","5","5","5","5","4","4","5","4","5","5","4","4","4","4","5","4","4","5","4","4","4","5","4","5","4","4","4","4"
"95",95,"technology","startup","others","aboveaverage","4","3","4","4","4","5","4","4","5","4","4","5","5","4","4","4","4","4","5","4","4","4","4","4","4","5","4","5","5","5","4","4","4","5","5","4","4","4","5","4","5","4","4","4"
"96",96,"fmcg","stable","others","average","2","2","3","2","2","4","4","3","3","2","3","3","2","2","4","2","3","4","3","3","4","3","4","3","3","4","4","2","4","4","2","4","2","4","4","3","3","4","3","2","3","3","2","3"
"97",97,"services","growth","public","aboveaverage","3","3","4","2","4","5","5","5","4","4","4","5","4","4","4","5","4","5","4","4","4","5","4","5","5","4","4","5","4","4","4","4","5","4","4","5","4","4","4","4","4","5","5","4"
"98",98,"fmcg","stable","private","average","4","4","4","3","4","4","3","3","3","4","3","3","3","4","2","4","4","2","4","3","2","2","3","3","3","4","2","4","3","3","2","3","4","3","4","3","3","3","4","4","3","2","3","3"
"99",99,"services","stable","private","average","3","3","3","2","4","4","4","3","3","2","3","3","2","2","3","3","4","3","4","4","4","4","4","3","3","3","3","4","3","4","2","4","4","4","3","3","3","2","3","3","2","4","4","4"
"100",100,"government","growth","government","belowaverage","3","2","4","3","2","3","3","2","2","3","3","3","3","4","3","4","2","2","2","4","2","4","3","4","3","4","4","3","2","3","2","3","3","2","3","3","3","3","2","2","3","4","2","2"
"101",101,"services","growth","public","aboveaverage","3","4","4","2","4","4","4","5","5","4","4","4","5","4","5","5","4","4","4","5","4","4","4","4","5","4","4","4","4","4","4","5","5","5","5","4","4","4","4","5","5","5","4","5"
"102",102,"others","growth","public","average","2","4","3","3","2","2","4","3","2","3","4","2","3","4","3","3","4","2","3","3","3","2","3","3","4","3","2","4","4","2","3","2","3","2","2","4","3","4","2","4","3","2","2","3"
"103",103,"utilities","decline","public","belowaverage","3","4","4","3","2","4","3","4","3","2","3","4","3","4","3","4","3","3","3","4","4","3","3","2","3","2","2","3","3","4","2","4","4","4","4","3","4","3","3","2","2","3","3","2"
"104",104,"technology","startup","private","average","4","3","3","4","3","3","4","3","2","4","3","3","4","2","2","4","3","3","3","2","3","4","3","3","2","3","4","2","3","3","3","2","3","2","2","4","4","3","4","3","3","2","3","3"
"105",105,"others","stable","private","average","4","3","4","3","2","3","3","4","3","4","3","4","4","3","3","3","4","3","3","2","3","4","3","3","4","3","3","3","3","3","4","3","3","3","3","3","2","2","3","3","4","2","3","3"
"106",106,"financial","stable","public","exceptional","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","5","5","4","5","4","4","5","4","4","4","4","5","4","5","4","4","4","5"
"107",107,"fmcg","growth","government","average","4","3","4","3","3","3","3","2","3","2","3","4","4","4","4","3","2","3","3","3","3","3","4","2","4","2","4","3","3","3","3","4","3","2","4","2","4","4","3","3","3","2","4","4"
"108",108,"services","startup","private","exceptional","5","3","2","2","4","4","4","4","4","4","4","4","4","5","4","5","4","4","5","5","5","5","5","4","4","4","4","4","5","4","5","4","5","4","5","4","4","4","4","4","4","4","4","4"
"109",109,"technology","growth","others","average","3","4","3","3","3","2","2","2","2","3","4","4","3","2","4","3","3","3","2","2","2","3","4","4","3","4","3","4","2","2","4","3","3","3","3","3","3","4","4","3","4","3","2","4"
"110",110,"financial","decline","government","belowaverage","4","3","4","3","3","2","2","4","4","3","4","3","4","2","4","3","2","4","3","2","2","3","4","3","3","4","3","3","3","4","4","3","2","3","2","3","3","3","2","3","2","3","3","2"
"111",111,"services","stable","others","average","4","2","4","3","3","3","4","4","4","4","4","3","4","4","4","4","3","4","4","3","2","3","4","4","4","2","3","3","4","4","4","3","4","2","2","3","4","3","4","4","3","4","4","4"
"112",112,"fmcg","stable","private","aboveaverage","3","3","4","3","4","5","5","5","4","5","4","4","4","4","5","4","4","4","4","5","4","4","5","4","5","4","5","4","4","4","4","5","4","4","4","4","5","5","5","4","4","4","4","4"
"113",113,"technology","stable","government","average","2","3","3","3","2","3","2","2","3","4","3","4","2","2","3","3","4","4","2","2","2","3","2","4","4","3","4","3","4","2","3","3","2","3","3","4","3","3","4","4","4","4","4","3"
"114",114,"services","stable","public","aboveaverage","5","5","3","2","5","4","4","5","5","4","5","5","4","5","4","5","5","4","5","5","4","5","4","4","5","4","4","4","4","5","4","4","4","4","4","4","4","5","4","4","4","4","5","4"
"115",115,"technology","startup","private","average","4","2","3","4","5","3","3","3","3","3","3","4","4","4","3","2","2","2","2","4","4","3","2","3","3","4","3","4","3","3","4","3","3","3","3","3","3","2","3","3","3","3","2","3"
"116",116,"fmcg","startup","public","average","3","3","3","4","4","4","3","3","3","4","4","2","4","3","4","2","4","4","3","4","2","3","4","3","4","3","3","2","3","4","2","3","4","3","3","3","3","3","3","3","3","3","2","2"
"117",117,"services","startup","private","average","3","2","4","3","3","3","2","4","3","4","4","3","3","4","2","2","3","3","3","2","2","4","4","3","3","3","4","3","4","3","2","4","4","4","4","4","3","3","4","4","2","4","4","3"
"118",118,"fmcg","startup","gov-linked","average","3","2","4","3","5","2","4","4","3","4","3","4","3","4","3","4","4","3","4","3","4","3","4","4","3","3","3","3","3","3","2","4","3","2","4","4","4","3","4","3","4","2","2","2"
"119",119,"government","stable","government","average","2","2","4","3","4","2","2","2","3","3","4","3","3","4","3","4","4","2","3","4","3","4","4","2","2","4","3","2","4","3","4","2","2","4","4","4","4","4","4","3","4","3","3","2"
"120",120,"technology","stable","private","aboveaverage","4","3","2","4","5","5","4","4","5","4","5","5","5","4","4","4","5","4","4","5","4","4","5","4","5","4","4","4","5","4","5","4","4","4","4","4","4","5","5","4","4","4","4","5"
"121",121,"government","startup","government","average","3","3","3","4","3","2","2","4","2","2","4","4","3","4","4","4","4","4","3","3","4","3","3","3","4","3","3","2","2","3","3","4","4","2","4","4","4","4","4","4","4","3","4","4"
"122",122,"technology","growth","private","aboveaverage","4","3","2","2","4","4","4","4","4","4","4","4","4","5","4","4","4","5","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"123",123,"financial","startup","private","average","2","3","4","3","4","4","3","3","4","4","4","3","4","4","4","2","2","3","3","3","4","3","2","4","4","4","2","2","4","4","3","4","3","3","4","3","3","2","4","3","2","3","4","4"
"124",124,"fmcg","growth","others","average","4","4","3","3","4","2","3","3","3","2","4","2","3","4","2","4","3","2","4","3","2","3","4","4","4","4","4","3","4","2","3","3","3","3","4","3","4","3","4","3","3","2","3","4"
